ticker,company_name,sector,industry,market_cap,forward_pe,peg_ratio_clean,revenue_growth,earnings_growth,return_on_equity,debt_to_equity,beta,log_market_cap,growth_score,quality_score,revenue_growth_strong,earnings_growth_strong,roe_strong,low_debt,high_growth,return_5y
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,20182304768.0,-10.961696,,-0.298,,-0.28868,15.087,1.336,23.72807205590535,,0.0,0,0,0,0,False,-0.6388731191392882
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,219769782272.0,14.109675,,0.113,-0.266,0.18177,208.851,0.422,26.11584639118012,-0.15300000000000002,2.0,0,0,1,0,False,0.5822168962596319
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,52634525696.0,12.051123,,-0.094,,0.03735,33.784,0.488,24.686638123437824,,0.0,0,0,0,0,True,2.0875140519531583
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,70404792320.0,10.836404,,0.095,0.363,0.1325,74.388,0.498,24.97752717053504,0.45799999999999996,0.0,0,1,0,0,False,-0.0518296228839261
MAS,Masco Corporation,Industrials,Building Products & Equipment,12933122048.0,13.747847,,-0.019,-0.059,71.5,4230.263,1.291,23.283057458356563,-0.078,2.0,0,0,1,0,False,0.105682387138811
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,157348577280.0,26.080114,,0.131,0.189,0.21525998,54.877,1.164,25.781729418668252,0.32,2.0,0,0,1,0,True,2.1208342292486027
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,69531074560.0,14.188112,,-0.021,3.179,0.08299,43.988,0.612,24.9650396055762,3.158,0.0,0,1,0,0,True,2.888320565352305
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,32663154688.0,12.838829,,-0.006,0.11,1.26603,464.785,0.296,24.209513511648904,0.104,2.0,0,0,1,0,False,-0.1322054903118138
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,128843603968.0,42.002865,,0.04,0.063,0.06127,61.78,1.412,25.581865133456873,0.10300000000000001,0.0,0,0,0,0,False,0.4534204008959612
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,78024228864.0,16.119234,,0.062,0.115,0.73843,70.044,0.856,25.08028524187595,0.177,2.0,0,0,1,0,False,0.1329650518625773
TTD,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,9740870656.0,8.58914,,0.143,0.075,0.16317,17.563,1.174,22.99959634044155,0.21799999999999997,2.0,0,0,1,0,False,-0.7043577255995634
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,22649944064.0,18.775244,,-0.043,-0.073,0.51523995,69.957,1.578,23.843423219335982,-0.11599999999999999,2.0,0,0,1,0,False,1.2830505514877486
SYK,Stryker Corporation,Healthcare,Medical Devices,131321479168.0,20.483313,,0.114,0.559,0.15079,72.971,0.926,25.600914193368027,0.673,2.0,0,1,1,0,False,0.4249664327020077
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,45237428224.0,10.196979,,0.116,0.209,0.121929996,,0.973,24.535190639208874,0.325,0.0,0,0,0,0,False,0.5669859234679924
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,8727747584.0,25.779127,,-0.004,0.091,0.03966,17.449,1.486,22.889773164916914,0.087,0.0,0,0,0,0,False,-0.4422568506658918
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,165732827136.0,13.677623,,0.189,0.411,0.18101999,115.32,0.901,25.833642853628213,0.6,2.0,0,1,1,0,False,0.4940812935413938
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,154524205056.0,9.6483755,,-0.012,,0.08886,77.957,0.388,25.763616588048812,,0.0,0,0,0,0,False,-0.0476193629791306
NVDA,NVIDIA Corporation,Technology,Semiconductors,4553420308480.0,16.853104,,0.732,0.956,1.01485,7.255,2.335,29.146899782644006,1.688,4.0,1,1,1,0,True,12.039728495082704
FICO,Fair Isaac Corporation,Technology,Software - Application,22963738624.0,18.1696,,0.164,0.077,,,1.376,23.857182227241374,0.241,0.0,0,0,0,0,False,0.8578374749165336
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,72855355392.0,24.063799,,0.123,0.086,1.04197,402.39,0.992,25.01174187948694,0.209,2.0,0,0,1,0,False,1.4331264587388124
MRSH,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,82233344000.0,15.000623,,0.087,0.057,0.29352,140.052,0.749,25.132826701537965,0.144,2.0,0,0,1,0,False,0.453075786828468
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,9094968320.0,7.607047,,0.064,,0.23285,703.028,2.113,22.930987165787837,,2.0,0,0,1,0,False,-0.3464309598522486
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2577041457152.0,25.511797,,0.136,0.05,0.22286,43.435,1.383,28.577663134839575,0.186,2.0,0,0,1,0,False,0.4212383229902194
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,45544148992.0,34.830353,,0.143,0.179,0.66202,60.827,1.722,24.54194799999771,0.32199999999999995,2.0,0,0,1,0,False,0.1392181217901864
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,66115665920.0,26.020123,,1.9,-0.061,,34.574,0.746,24.914671559066615,1.839,2.0,1,0,0,0,False,0.8804324338514122
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,49095245824.0,6.6731544,,-0.048,,-0.20193,460.639,1.71,24.617028040684165,,0.0,0,0,0,0,False,0.3045407366332129
NET,"Cloudflare, Inc.",Technology,Software - Infrastructure,59196043264.0,116.6507,,0.336,,-0.08164,241.126,1.875,24.804120539862833,,2.0,1,0,0,0,False,1.3812077499926536
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,19633348608.0,12.972837,,0.531,,-0.24678,71.073,1.099,23.700495416983077,,2.0,1,0,0,0,False,-0.1158890838865298
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,136118894592.0,21.11406,,0.046,0.125,0.07053,37.487,0.986,25.63679456571893,0.17099999999999999,0.0,0,0,0,0,False,-0.0449833974888749
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,75567390720.0,23.12974,,0.655,-0.82,0.055430003,35.579,1.148,25.048290687408873,-0.16499999999999992,2.0,1,0,0,0,False,0.5074851103708367
MDT,Medtronic plc,Healthcare,Medical Devices,112866328576.0,14.498515,,0.087,-0.118,0.0939,57.06,0.764,25.44947002249441,-0.031,0.0,0,0,0,0,False,-0.1610269898877985
SATS,EchoStar Corporation,Communication Services,Telecom Services,34913509376.0,-82.26463,,-0.043,,-1.11347,532.734,1.003,24.276139679421686,,0.0,0,0,0,0,True,3.9692782372543496
COF,Capital One Financial Corporation,Financial Services,Credit Services,120088764416.0,7.9507957,,0.516,0.222,0.02394,,1.144,25.51149700975768,0.738,2.0,1,0,0,0,False,0.5757728579102406
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,74456186880.0,29.845654,,0.176,0.666,0.26815,0.8,0.509,25.03347669377886,0.8420000000000001,3.5,0,1,1,1,False,0.5967047164934154
COHR,Coherent Corp.,Technology,Scientific & Technical Instruments,55095291904.0,39.463806,,0.175,0.73,0.032360002,39.901,1.905,24.732330103084294,0.905,0.0,0,1,0,0,True,2.840965814685899
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,9827081216.0,9.149219,,0.07,,-0.20683001,143.204,0.259,23.008407800971494,,0.0,0,0,0,0,False,-0.1508998170817503
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,160243679232.0,39.480682,,0.188,0.166,0.16690001,0.953,1.679,25.799961488805483,0.354,3.5,0,0,1,1,False,0.7249773417264449
CDW,CDW Corporation,Technology,Information Technology Services,16686921728.0,11.333752,,0.063,0.088,0.43018,236.871,1.018,23.537891119562634,0.151,2.0,0,0,1,0,False,-0.2227261513938174
JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,87292878848.0,25.639643,,0.068,0.342,0.12640001,73.339,1.402,25.19253472543394,0.41000000000000003,0.0,0,1,0,0,False,1.537083196985947
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,77423656960.0,28.388935,,0.048,0.202,0.22516,91.769,1.024,25.072558216332983,0.25,2.0,0,0,1,0,False,0.3206124576873113
SYF,Synchrony Financial,Financial Services,Credit Services,26076389376.0,6.914685,,0.05,0.078,0.21304001,,1.381,23.984296120287155,0.128,2.0,0,0,1,0,False,0.8908869046574301
ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,42250547200.0,17.694773,,0.089,-0.083,0.08767,117.317,0.335,24.466883142168683,0.0059999999999999915,0.0,0,0,0,0,False,0.8194818182087784
DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,29317146624.0,9.354903,,-0.121,-0.085,0.17736,55.951,0.526,24.101438390845765,-0.20600000000000002,2.0,0,0,1,0,False,1.7593816074127293
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,72442445824.0,10.520681,,0.0,-0.417,0.16829,30.62,0.333,25.006058232851064,-0.417,2.0,0,0,1,0,False,1.406236387342341
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,179462586368.0,28.522112,,0.085,0.279,0.59129,132.375,0.727,25.913232590664997,0.36400000000000005,2.0,0,1,1,0,False,1.5051832468158737
CSX,CSX Corporation,Industrials,Railroads,79375196160.0,20.396896,,-0.009,-0.004,0.22511,148.222,1.246,25.0974517654759,-0.013,2.0,0,0,1,0,False,0.3904238677581026
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,17429555200.0,41.01938,,0.032,-0.687,0.12235,119.433,0.725,23.58143317699036,-0.655,0.0,0,0,0,0,False,0.0634323051212721
WRB,W. R. Berkley Corporation,Financial Services,Insurance - Property & Casualty,25073799168.0,13.635726,,0.015,-0.218,0.19700001,31.921,0.373,23.94508928007638,-0.203,2.0,0,0,1,0,False,1.101422686802198
STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,27956508672.0,12.141377,,0.14,0.347,0.13284001,49.077,1.4,24.053915877881522,0.487,0.0,0,1,0,0,True,3.0713959081301683
BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,13159901184.0,8.676998,,0.034,0.606,0.04464,24.587,1.473,23.30044025407679,0.64,0.0,0,1,0,0,False,0.0535940263756913
ABT,Abbott Laboratories,Healthcare,Medical Devices,176531210240.0,16.63125,,0.044,-0.809,0.12961,26.787,0.782,25.896763526248343,-0.765,0.0,0,0,0,0,False,-0.0793887311356071
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,32668753920.0,9.022249,,0.184,-0.303,-0.00471,87.223,1.215,24.209684920448456,-0.119,0.0,0,0,0,0,False,0.7989227836520723
KKR,KKR & Co. Inc.,Financial Services,Asset Management,84786241536.0,11.804236,,0.763,-0.022,0.08558,68.611,1.927,25.163399120555013,0.741,2.0,1,0,0,0,False,0.8618211326106149
AWK,"American Water Works Company, Inc.",Utilities,Utilities - Regulated Water,27155652608.0,21.141836,,0.058,0.0,0.10496,146.987,0.734,24.024851060882423,0.058,0.0,0,0,0,0,False,0.0141546375981218
DOW,Dow Inc.,Basic Materials,Chemicals,27676489728.0,31.578865,,-0.091,,-0.13818,111.871,0.495,24.043849143505188,,0.0,0,0,0,0,False,-0.2003655673957247
ADI,"Analog Devices, Inc.",Technology,Semiconductors,170947133440.0,26.821505,,0.304,1.167,0.07862,25.753,1.053,25.86462018448516,1.471,2.0,1,1,0,0,False,1.362131567926424
HAS,"Hasbro, Inc.",Consumer Cyclical,Leisure,12998660096.0,14.761825,,0.313,,-0.36355,600.584,0.544,23.288112119634388,,2.0,1,0,0,0,False,0.1862112103572224
RVTY,"Revvity, Inc.",Healthcare,Diagnostics & Research,10181928960.0,15.177802,,0.059,0.125,0.03216,46.869,1.129,23.043880315482163,0.184,0.0,0,0,0,0,False,-0.3091102270575923
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,8522734592.0,8.967397,,-0.027,-0.125,-0.18172,61.772,0.499,22.86600308791019,-0.152,0.0,0,0,0,0,False,0.0509644183645094
FAST,Fastenal Company,Industrials,Industrial Distribution,56911167488.0,36.511517,,0.111,0.093,0.33291,11.205,0.837,24.76475742400574,0.20400000000000001,2.0,0,0,1,0,False,1.2313782643171225
CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,25020669952.0,11.20512,,0.234,0.206,0.12275,26.984,0.27,23.94296811832533,0.44,2.0,1,0,0,0,False,1.4657006485001545
BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,16836841472.0,14.084099,,0.162,,0.16122,136.027,1.142,23.54683526718308,,2.0,0,0,1,0,False,-0.2493549130847406
NSC,Norfolk Southern Corporation,Industrials,Railroads,66738315264.0,22.137896,,-0.017,-0.114,0.19248,114.742,1.31,24.924045066693605,-0.131,2.0,0,0,1,0,False,0.2084919917204362
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,18391287808.0,10.459367,,0.109,-0.408,0.05599,61.971,0.612,23.635142900788903,-0.299,0.0,0,0,0,0,False,-0.4047681547338674
HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,11608245248.0,13.423993,,-0.029,-0.051,0.061160002,4.244,0.358,23.17498147988954,-0.08,0.0,0,0,0,0,False,-0.4714167993399218
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,55778422784.0,24.233303,,0.045,-0.02,0.46098998,69.114,1.092,24.74465294310956,0.024999999999999998,2.0,0,0,1,0,True,2.08877888222362
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,12629328896.0,18.531954,,0.03,,0.09059,201.771,0.476,23.259287636267608,,0.0,0,0,0,0,False,0.5919907858495312
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Capital Markets,119642398720.0,25.278217,,0.152,0.303,0.23507999,124.331,1.256,25.507773119997307,0.45499999999999996,2.0,0,1,1,0,True,2.8920644136006364
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified,41395576832.0,8.731691,,-0.072,-0.056,0.07399,24.408,0.601,24.446439872287296,-0.128,0.0,0,0,0,0,False,0.8546271818945668
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,138978689024.0,14.022981,,0.16,0.384,,,1.198,25.65758644195604,0.544,0.0,0,1,0,0,False,0.8239143269860241
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,76162260992.0,21.9697,,0.12,-0.237,0.30233,27.698,1.16,25.056131914396946,-0.11699999999999999,2.0,0,0,1,0,False,-0.2922284224571292
T,AT&T Inc.,Communication Services,Telecom Services,186250346496.0,10.456871,,0.036,-0.056,0.18805,124.179,0.539,25.950357554590926,-0.020000000000000004,2.0,0,0,1,0,False,0.5846386115522495
GEN,Gen Digital Inc.,Technology,Software - Infrastructure,11347575808.0,6.412468,,0.258,0.201,0.26902,363.379,1.149,23.152269972951142,0.459,4.0,1,0,1,0,False,-0.0674588870530834
AON,Aon plc,Financial Services,Insurance Brokers,68097937408.0,14.792917,,0.037,1.383,0.4694,168.318,0.825,24.944212761963314,1.42,2.0,0,1,1,0,False,0.388454027531296
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,44255682560.0,34.84243,,-0.057,-0.105,0.2393,3.28,1.205,24.513249619612903,-0.162,2.0,0,0,1,0,False,0.7295057269838721
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,18370338816.0,15.156375,,0.228,0.371,0.23401,46.765,0.516,23.63400318004255,0.599,4.0,1,1,1,0,False,1.8899754192204916
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,6718228480.0,8.909109,,0.128,0.099,0.10335,3.907,1.73,22.62809033782909,0.227,0.0,0,0,0,0,False,-0.7061646142959266
CRM,"Salesforce, Inc.",Technology,Software - Application,155409874944.0,11.136372,,0.121,0.179,0.123959996,29.947,1.288,25.76933181819566,0.3,0.0,0,0,0,0,False,-0.2718491740412762
TT,Trane Technologies plc,Industrials,Building Products & Equipment,103347011584.0,27.717745,,0.056,-0.005,0.36956,63.247,1.212,25.361358207174753,0.051000000000000004,2.0,0,0,1,0,False,1.9237057546880625
