ticker,company_name,sector,industry,market_cap,current_price,forward_pe,trailing_pe,peg_ratio,revenue_growth,earnings_growth,return_on_equity,debt_to_equity,beta,return_5y,high_growth
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,20182304768.0,50.89,-10.961696,,,-0.298,,-0.28868,15.087,1.336,-0.6388731191392882,False
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,219769782272.0,196.485,14.109675,20.214506,,0.113,-0.266,0.18177,208.851,0.422,0.5822168962596319,False
FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,52634525696.0,186.595,12.051123,32.507843,,-0.094,,0.03735,33.784,0.488,2.0875140519531583,True
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,70404792320.0,319.0,10.836404,12.648692,,0.095,0.363,0.1325,74.388,0.498,-0.05182962288392612,False
MAS,Masco Corporation,Industrials,Building Products & Equipment,12933122048.0,63.52,13.747847,16.45596,,-0.019,-0.059,71.5,4230.263,1.291,0.10568238713881106,False
ETN,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,157348577280.0,405.1199,26.080114,38.767456,,0.131,0.189,0.21525998,54.877,1.164,2.1208342292486027,True
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,69531074560.0,232.525,14.188112,30.716642,,-0.021,3.179,0.08299,43.988,0.612,2.888320565352305,True
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,32663154688.0,98.405,12.838829,20.247942,,-0.006,0.11,1.26603,464.785,0.296,-0.13220549031181383,False
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,128843603968.0,138.21,42.002865,38.823036,,0.04,0.063,0.06127,61.78,1.412,0.45342040089596125,False
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,78024228864.0,192.915,16.119234,18.5317,,0.062,0.115,0.73843,70.044,0.856,0.13296505186257734,False
TTD,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,9740870656.0,20.465,8.58914,22.73889,,0.143,0.075,0.16317,17.563,1.174,-0.7043577255995634,False
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,22649944064.0,190.31,18.775244,21.52828,,-0.043,-0.073,0.51523995,69.957,1.578,1.2830505514877486,False
SYK,Stryker Corporation,Healthcare,Medical Devices,131321479168.0,342.89,20.483313,40.7717,,0.114,0.559,0.15079,72.971,0.926,0.42496643270200773,False
FITB,Fifth Third Bancorp,Financial Services,Banks - Regional,45237428224.0,49.955,10.196979,14.151559,,0.116,0.209,0.121929996,,0.973,0.5669859234679924,False
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,8727747584.0,55.785,25.779127,105.25472,,-0.004,0.091,0.03966,17.449,1.486,-0.4422568506658918,False
SCHW,The Charles Schwab Corporation,Financial Services,Capital Markets,165732827136.0,94.585,13.677623,20.34086,,0.189,0.411,0.18101999,115.32,0.901,0.49408129354139385,False
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,154524205056.0,27.165,9.6483755,19.974266,,-0.012,,0.08886,77.957,0.388,-0.04761936297913061,False
NVDA,NVIDIA Corporation,Technology,Semiconductors,4553420308480.0,187.345,16.853104,38.311863,,0.732,0.956,1.01485,7.255,2.335,12.039728495082704,True
FICO,Fair Isaac Corporation,Technology,Software - Application,22963738624.0,959.675,18.1696,35.826424,,0.164,0.077,,,1.376,0.8578374749165336,False
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,72855355392.0,438.35,24.063799,34.40738,,0.123,0.086,1.04197,402.39,0.992,1.4331264587388124,False
MRSH,"Marsh & McLennan Companies, Inc.",Financial Services,Insurance Brokers,82233344000.0,169.86,15.000623,20.149466,,0.087,0.057,0.29352,140.052,0.749,0.45307578682846805,False
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,9094968320.0,19.965,7.607047,21.701086,,0.064,,0.23285,703.028,2.113,-0.3464309598522486,False
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2577041457152.0,239.62,25.511797,33.4212,,0.136,0.05,0.22286,43.435,1.383,0.42123832299021946,False
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,45544148992.0,571.99,34.830353,43.663357,,0.143,0.179,0.66202,60.827,1.722,0.13921812179018644,False
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,66115665920.0,353.965,26.020123,41.545185,,1.9,-0.061,,34.574,0.746,0.8804324338514122,False
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,49095245824.0,12.2399,6.6731544,,,-0.048,,-0.20193,460.639,1.71,0.3045407366332129,False
NET,"Cloudflare, Inc.",Technology,Software - Infrastructure,59196043264.0,168.18,116.6507,,,0.336,,-0.08164,241.126,1.875,1.3812077499926536,False
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,19633348608.0,37.08,12.972837,,,0.531,,-0.24678,71.073,1.099,-0.11588908388652985,False
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,136118894592.0,192.34,21.11406,38.162697,,0.046,0.125,0.07053,37.487,0.986,-0.04498339748887492,False
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,75567390720.0,394.48,23.12974,60.50307,,0.655,-0.82,0.055430003,35.579,1.148,0.5074851103708367,False
MDT,Medtronic plc,Healthcare,Medical Devices,112866328576.0,87.91,14.498515,24.555868,,0.087,-0.118,0.0939,57.06,0.764,-0.1610269898877985,False
SATS,EchoStar Corporation,Communication Services,Telecom Services,34913509376.0,120.8599,-82.26463,,,-0.043,,-1.11347,532.734,1.003,3.9692782372543496,True
COF,Capital One Financial Corporation,Financial Services,Credit Services,120088764416.0,193.09,7.9507957,57.296738,,0.516,0.222,0.02394,,1.144,0.5757728579102406,False
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,74456186880.0,76.11,29.845654,39.231956,,0.176,0.666,0.26815,0.8,0.509,0.5967047164934154,False
COHR,Coherent Corp.,Technology,Scientific & Technical Instruments,55095291904.0,293.87,39.463806,288.10785,,0.175,0.73,0.032360002,39.901,1.905,2.840965814685899,True
