ticker,company_name,sector,industry,market_cap,current_price,forward_pe,trailing_pe,peg_ratio,revenue_growth,earnings_growth,return_on_equity,debt_to_equity,beta
ES,Eversource Energy,Utilities,Utilities - Regulated Electric,26523406336,70.57,13.844693,15.475878,,0.134,4.662,0.10777,184.946,0.776
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,143974252544,206.34,62.717323,145.30986,,0.413,-0.263,0.025390001,49.488,0.821
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,6198466048,20.79,9.233394,11.298913,,-0.045,-0.172,0.13891,185.001,0.025
WBD,"Warner Bros. Discovery, Inc.",Communication Services,Entertainment,69011333120,27.53,-1651.4697,94.93104,,-0.057,,0.02078,98.91,1.637
VLTO,Veralto Corporation,Industrials,Pollution & Treatment Controls,22211723264,89.62,19.637362,23.835108,,0.038,0.122,0.36498,92.692,1.153
HUM,Humana Inc.,Healthcare,Healthcare Plans,23795996672,197.32,12.947958,20.032488,,0.113,,0.07039,74.815,0.445
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,55531130880,1172.21,24.125866,33.113274,,0.045,-0.02,0.46098998,69.114,1.092
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,75736530944,198.97,28.784088,14.041637,,0.132,3.581,1.04109,435.463,1.403
HPE,Hewlett Packard Enterprise Company,Technology,Communication Equipment,32994314240,24.83,9.112161,,,0.184,-0.303,-0.00471,87.223,1.215
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,73948839936,322.51,30.950375,52.697716,,0.07,-0.385,,,1.11
LITE,Lumentum Holdings Inc.,Technology,Communication Equipment,63840882688,894.13,56.685078,256.19772,,0.655,,0.29275,392.476,1.391
JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,86821593088,141.85,25.501217,47.600674,,0.068,0.342,0.12640001,73.339,1.402
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,28675905536,168.98,12.00582,21.55357,,0.103,0.236,0.21438,245.928,1.391
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,45274800128,34.24,25.176472,30.03509,,0.049,0.04,0.47355,179.319,1.064
HOOD,"Robinhood Markets, Inc.",Financial Services,Capital Markets,63129628672,70.12,26.038748,34.20488,,0.265,-0.345,0.21993999,136.04,2.464
DXCM,"DexCom, Inc.",Healthcare,Medical Devices,25616267264,65.68,21.948792,31.576925,,0.131,0.78,0.34497002,50.852,1.556
DTE,DTE Energy Company,Utilities,Utilities - Regulated Electric,31408082944,150.98,18.162943,21.446022,,0.289,0.255,0.12177,213.601,0.428
SMCI,"Super Micro Computer, Inc.",Technology,Computer Hardware,13943189504,23.22,7.716516,16.948904,,1.234,0.192,0.13193,75.28,1.629
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,13451568128,257.25,18.361883,24.087078,,0.029,-0.584,0.26194,2.712,0.438
CDW,CDW Corporation,Technology,Information Technology Services,16502046720,126.75,11.208185,15.706321,,0.063,0.088,0.43018,236.871,1.018
HII,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,15883570176,403.37,19.820726,26.226917,,0.157,0.281,0.124239996,58.762,0.356
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,78730477568,273.18,22.512354,26.041945,,0.041,0.073,0.93718004,285.524,1.145
D,"Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,56350429184,64.11,16.790062,18.475504,,0.204,3.655,0.09741,150.094,0.658
MDT,Medtronic plc,Healthcare,Medical Devices,112866328576,87.91,14.498515,24.555868,,0.087,-0.118,0.0939,57.06,0.764
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,1029476384768,129.13,39.312214,47.474266,,0.056,-0.19,0.21847,64.443,0.661
BXP,"BXP, Inc.",Real Estate,REIT - Office,9291950080,52.48,25.170263,30.16092,,-0.319,,0.04916,225.995,1.047
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,43202162688,95.58,14.331576,22.436619,,0.15,-0.184,0.40847,155.623,1.33
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,226948726784,1727.26,36.215942,50.254875,,0.072,0.409,1.00726,111.778,1.435
IBM,International Business Machines Corporation,Technology,Information Technology Services,222571855872,237.18,17.703764,21.27175,,0.122,0.899,0.35158002,197.328,0.685
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,73274007552,136.58,10.641448,14.975878,,0.0,-0.417,0.16829,30.62,0.333
ETR,Entergy Corporation,Utilities,Utilities - Regulated Electric,53763870720,117.44,23.8074,29.36,,0.079,-0.208,0.10774,181.79,0.565
WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,38686601216,118.78,19.766027,24.694387,,0.111,-0.325,0.11576,159.331,0.525
MS,Morgan Stanley,Financial Services,Capital Markets,282893189120,178.16,14.3635025,17.246855,,0.11,0.207,0.15614,455.747,1.182
NOW,"ServiceNow, Inc.",Technology,Software - Application,93941260288,89.81,17.89746,53.778442,,0.207,0.034,0.15488,18.536,1.005
DOW,Dow Inc.,Basic Materials,Chemicals,27374321664,38.04,31.23409,,,-0.091,,-0.13818,111.871,0.495
LII,Lennox International Inc.,Industrials,Building Products & Equipment,17014803456,488.68,18.362453,20.964394,,-0.112,-0.179,0.75833,152.24,1.21
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2512730980352,233.65,24.875145,32.587166,,0.136,0.05,0.22286,43.435,1.383
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,20189265920,170.2,23.81992,35.238094,,-0.065,-0.085,0.32911,75.604,0.935
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,57020506112,364.21,44.09071,105.263,,0.439,0.814,0.19734,10.131,1.794
ARES,Ares Management Corporation,Financial Services,Asset Management,34680352768,104.8,13.953669,61.28655,,0.195,-0.814,0.13520001,163.448,1.536
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,38576136192,27.85,10.662573,12.268723,,0.061,,0.27853,203.901,2.482
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,77433225216,129.16,22.336323,32.534004,,0.12,-0.237,0.30233,27.698,1.16
CNC,Centene Corporation,Healthcare,Healthcare Plans,18466056192,37.55,9.211921,,,0.232,,-0.28678,90.556,0.587
PTC,PTC Inc.,Technology,Software - Application,16563068928,139.19,16.825872,20.499264,,0.214,1.044,0.23141001,35.942,1.058
NVDA,NVIDIA Corporation,Technology,Semiconductors,4469932687360,183.91,16.5441,37.60941,,0.732,0.956,1.01485,7.255,2.335
WTW,Willis Towers Watson Public Limited Company,Financial Services,Insurance Brokers,27215982592,287.86,12.856861,17.703566,,-0.033,-0.382,0.20076,85.755,0.63
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,13829294080,51.44,15.37404,8.432787,,0.167,5.283,0.25347,65.158,0.706
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,Specialty Retail,22768959488,191.31,18.8739,21.641401,,-0.043,-0.073,0.51523995,69.957,1.578
CNP,"CenterPoint Energy, Inc.",Utilities,Utilities - Regulated Electric,28868225024,44.13,21.210636,27.581251,,0.107,0.052,0.096429996,206.599,0.532
DELL,Dell Technologies Inc.,Technology,Computer Hardware,120251662336,181.46,12.483078,20.929644,,0.395,0.573,,,0.954
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,7921434112,213.52,11.0056925,13.740026,,0.071,-0.045,0.28084,72.972,0.724
